date	exp_name	iter	psnr	bg_iou	fg_iou	miou	ssim	lpips	status	note
2026-05-15	ablation_deeper_mlp_logit_knn	10000	24.29	0.9806	0.6095	0.7180	NA	NA	completed	
2026-05-15	ablation_deeper_mlp_prob_bce_knn	7000	24.25	0.9803	0.6020	0.7212	NA	NA	completed	
2026-05-15	ablation_pergaussian	30000	24.78	0.9722	0.4112	0.4264	NA	NA	completed	
2026-05-15	ablation_twostage	30000	25.04	0.9810	0.6197	0.7776	NA	NA	completed	
2026-05-15	ablation_v2_full_30000	30000	24.43	0.9765	0.5094	0.6065	NA	NA	completed	
2026-05-15	ablation_v3_mask_geo_detach	7000	24.68	0.9618	0.0662	0.0700	NA	NA	completed	
2026-05-15	ablation_v4_mask_opacity_detach	7000	23.66	0.9751	0.4564	0.4147	NA	NA	completed	
2026-05-15	debug_anchor_voting	7000	24.12	0.9742	0.4410	0.4766	NA	NA	completed	
2026-05-15	debug_fg_anchor_voting	10000	24.02	0.9789	0.5665	0.5191	NA	NA	completed	
2026-05-15	debug_fg_anchor_voting	33000	24.02	0.9717	0.4158	0.5191	NA	NA	completed	
2026-05-15	exp01_sem_ramp	33000	24.71	0.9804	0.6216	0.7880	NA	NA	completed	
2026-05-15	exp02_late_sem	33000	24.68	0.9807	0.6236	0.7891	NA	NA	completed	
2026-05-15	exp02_reuse_baseline	10000	24.64	0.9807	0.6236	0.7888	NA	NA	completed	
2026-05-15	exp02_reuse_semweight	10000	24.64	0.9807	0.6236	0.7888	NA	NA	completed	
2026-05-15	exp03_late_sem_nodensify	30000	24.63	0.9798	0.6178	0.7885	NA	NA	completed	
2026-05-15	exp03_late_sem_nodensify_scratch	30000	24.41	0.9808	0.6164	0.7570	NA	NA	completed	
2026-05-15	exp04_late_sem_stopdensify5000	30000	24.79	0.9808	0.6187	0.7617	NA	NA	completed	
2026-05-15	exp05_late_sem_stopdensify10000	30000	24.87	0.9809	0.6167	0.7741	NA	NA	completed	
2026-05-15	exp06_late_sem_stopdensify15000	30000	25.04	0.9810	0.6197	0.7778	NA	NA	completed	
2026-05-15	exp06_reuse_baseline	30000	25.04	NA	NA	0.7778	NA	NA	completed	
2026-05-15	exp06_reuse_semweight	30000	NA	NA	NA	NA	NA	NA	completed	
2026-05-15	exp06_twostage_fa75	10000	25.04	0.9810	0.6197	0.7778	NA	NA	completed	
2026-05-15	exp06_twostage_m2f_conservative	10000	25.04	0.9810	0.6197	0.7777	NA	NA	completed	
2026-05-15	exp06_twostage_sf_conservative	10000	25.04	0.9810	0.6197	0.7778	NA	NA	completed	
2026-05-15	exp07_anchor_region_w002	30000	24.37	0.9745	0.4418	0.4832	NA	NA	completed	
2026-05-15	exp08_soft_anchor_curve_decay	33000	22.6595	0.9740	0.4377	0.7058	NA	NA	completed	
2026-05-15	final	30000	22.13	0.9805	0.6169	0.7871	NA	NA	completed	
2026-05-15	full_semweight	33000	24.35	0.9728	0.4176	0.5799	NA	NA	completed	
2026-05-15	highpsnr	30000	25.09	0.9742	0.5267	0.5928	NA	NA	completed	
2026-05-15	semantic_knn_check	30000	NA	NA	NA	NA	NA	NA	completed	
2026-05-15	semantic_knn_evalrun	30000	25.29	0.9613	0.0422	0.0395	NA	NA	completed	
2026-05-15	stage1	15000	25.34	0.6493	0.0192	0.0197	NA	NA	completed	
2026-05-15	stage2	30000	25.19	0.9751	0.5446	0.6327	NA	NA	completed	
2026-05-15	stage2_debug	15000	23.8466	0.6493	0.0192	0.3342	NA	NA	completed	
2026-05-15	stage2_dice	30000	24.90	0.9794	0.5994	0.7633	NA	NA	completed	
2026-05-15	twostage_baseline	10000	25.09	0.9717	0.3518	0.3134	NA	NA	completed	
2026-05-15	twostage_baseline_debug	30000	NA	NA	NA	NA	NA	NA	completed	
2026-05-15	twostage_reuse_baseline	10000	25.09	0.9727	0.3753	0.3257	NA	NA	completed	
2026-05-15	twostage_reuse_semweight	10000	25.09	0.9727	0.3784	0.3268	NA	NA	completed	
2026-05-15	twostage_semweight_hard	10000	25.09	0.9718	0.3520	0.3146	NA	NA	completed	
2026-05-15	user_params	30000	24.54	0.9809	0.6164	0.7459	NA	NA	completed	
